ID,Area,Requirement,Platforms,Gate,Milestone,Priority,Blocking,Feature Applicability,Owner,Implementing Tasks,Security IDs,Screen IDs,Evidence Required
ACC-023,Sync,Model weights are excluded from sync by default,All,Release blocker,M4_OPTIONAL_SERVICES,P0,Yes,feature:sync,Sync,HBR-106;HBR-156,SEC-039,UX-035,evidence/gates/ACC-023/report.json
ACC-024,Performance,UI remains responsive while generation/index/download runs; backpressure prevents memory runaway,All,Performance gate,M3_GA_CORE,P0,Yes,core,Performance,HBR-020;HBR-023;HBR-050;HBR-083;HBR-154,,UX-025;UX-041,evidence/gates/ACC-024/report.json
ACC-025,Thermal,Mobile runtime reduces/unloads model on critical thermal/memory signals without silent crash,iOS;Android,Release blocker,M3_GA_CORE,P0,Yes,core,Thermal,HBR-023;HBR-110;HBR-111;HBR-154,SEC-019,UX-041,evidence/gates/ACC-025/report.json
ACC-026,Desktop,Large model load can be cancelled while memory mapping/offload is in progress,macOS;Windows,Performance gate,M3_GA_CORE,P0,Yes,core,Desktop,HBR-023;HBR-031;HBR-157,SEC-045,UX-022;UX-023,evidence/gates/ACC-026/report.json
ACC-027,Updates,App N-2 data migrates to current version with fixtures and rollback guidance,All,Release blocker,M3_GA_CORE,P0,Yes,core,Updates,HBR-004;HBR-136,,UX-041,evidence/gates/ACC-027/report.json
ACC-028,Supply chain,Release contains SBOM and pinned checksums/revisions for native/model-runtime dependencies,All,Security blocker,M3_GA_CORE,P0,Yes,core,Supply chain,HBR-140;HBR-141,SEC-027,,evidence/gates/ACC-028/report.json
ACC-029,Catalog,Unsigned/tampered Harbor catalog cannot cause install,All,Security blocker,M3_GA_CORE,P0,Yes,core,Catalog,HBR-042;HBR-144;HBR-157,SEC-012;SEC-044,UX-019;UX-021,evidence/gates/ACC-029/report.json
ACC-030,Diagnostics,Local diagnostic records are content-free by default; uploading diagnostics remains unavailable unless separately qualified.,All,Security blocker,M3_GA_CORE,P0,Yes,core,Diagnostics,HBR-121,SEC-018,UX-032,evidence/gates/ACC-030/report.json
ACC-031,Share-in,Imported external file remains outside workspace until user confirms destination/permissions,All,Privacy gate,M3_GA_CORE,P0,Yes,core,Share-in,HBR-073;HBR-081;HBR-114,SEC-014,UX-039;UX-040;UX-044,evidence/gates/ACC-031/report.json
ACC-032,Office agent,"XLSX→verified recalculation→analysis→PPTX reference workflow completes with trace, diff, base-version-bound approval and safe commit.",All,Product gate,M3_GA_CORE,P0,Yes,core,Office agent,HBR-099;HBR-161,SEC-033;SEC-041;SEC-043,UX-009;UX-010;UX-012;UX-017,evidence/gates/ACC-032/report.json
ACC-033,Model UX,A novice can install a recommended model without seeing quantization jargon unless Advanced is expanded,All,UX gate,M3_GA_CORE,P0,Yes,core,Model UX,HBR-041;HBR-043;HBR-160,,UX-003;UX-018;UX-021,evidence/gates/ACC-033/report.json
ACC-034,Model UX,Expert can inspect repo/revision/file/quant/context/backend/license before install,All,UX gate,M3_GA_CORE,P0,Yes,core,Model UX,HBR-040;HBR-043;HBR-157,,UX-020;UX-021,evidence/gates/ACC-034/report.json
ACC-035,Agent UX,Run Trail provides user-readable status and expandable technical detail,All,UX gate,M3_GA_CORE,P0,Yes,core,Agent UX,HBR-065;HBR-148;HBR-160,,UX-016,evidence/gates/ACC-035/report.json
ACC-036,Permissions,"Allow once, always for scope, and deny behaviors are deterministic and reversible",All,Security blocker,M3_GA_CORE,P0,Yes,core,Permissions,HBR-022;HBR-063;HBR-149,SEC-008,UX-017;UX-032;UX-044,evidence/gates/ACC-036/report.json
ACC-037,Remote,"Enabled remote inference passes destination/TLS policy, streaming, cancellation, errors, content disclosure and protected routing tests; no silent substitution. Disabled enforcement is ACC-064.",All,Privacy gate,M4_OPTIONAL_SERVICES,P0,Yes,feature:remote_inference,Remote,HBR-036;HBR-037;HBR-124;HBR-150,SEC-011;SEC-010,UX-034;UX-046,evidence/gates/ACC-037/report.json
ACC-038,Network,Every app-controlled egress attempt records initiator/reason/domain/policy result; completed traffic and blocked attempts are distinguishable.,All,Privacy gate,M3_GA_CORE,P0,Yes,core,Network,HBR-100;HBR-150,SEC-030;SEC-034;SEC-035,UX-031,evidence/gates/ACC-038/report.json
ACC-039,Recovery,Corrupt local database or model store produces guided recovery without destructive auto-reset,All,Release blocker,M3_GA_CORE,P0,Yes,core,Recovery,HBR-024;HBR-080;HBR-152,SEC-036;SEC-037,UX-041,evidence/gates/ACC-039/report.json
ACC-040,Store compliance,Platform packages pass store/notarization/static permission review with documented privacy declarations,All,Ship blocker,M3_GA_CORE,P0,Yes,core,Store compliance,HBR-110;HBR-111;HBR-112;HBR-142;HBR-143,SEC-027;SEC-028,,evidence/gates/ACC-040/report.json
ACC-041,Release authority,"Selected release/platform/feature set yields one unambiguous required-gate list; disabled optional features are N/A_DISABLED, never PASS.",All,Release blocker,M0_CONTRACT,P0,Yes,core,Release,HBR-146;HBR-147,,UX-041,Machine-readable gate-evaluator output with commit SHA and evidence URIs.
ACC-042,Run durability,"Process kill at every transition replays to identical run state, pause reason and persisted budgets.",All,Release blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Agent,HBR-148,SEC-046,UX-016;UX-041,Replay matrix for every transition and pause reason.
ACC-043,Run ownership,Two concurrent resume attempts result in exactly one executor owner through a generation-fenced lease.,All,Security blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Agent,HBR-148,SEC-046,UX-041,Concurrent resume test with executor lease evidence.
ACC-044,Effects,Injected crashes around external acceptance never produce an automatic duplicate effect.,All,Security blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Agent/Tools,HBR-149,SEC-031,UX-016;UX-043,Fault-injection log across prepared/dispatched/committed windows.
ACC-045,Effects,"When provider idempotency/reconciliation is unavailable, uncertain outcome is visible and automatic retry is prohibited.",All,Security blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Agent/Tools,HBR-149,SEC-032,UX-016;UX-043,OUTCOME_UNKNOWN scenario with user-visible recovery path.
ACC-046,Artifacts,"External edit between read, preview, approval and commit causes conflict rather than overwrite.",All,Data integrity blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Artifacts,HBR-151,SEC-033;SEC-023,UX-047,TOCTOU fixture on DOCX/XLSX/PPTX.
ACC-047,Artifacts,Operation batches are atomic or safely staged; duplicate committed batch replay is idempotent.,All,Data integrity blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Artifacts,HBR-090;HBR-097;HBR-151,SEC-043,UX-008;UX-009;UX-010;UX-012;UX-047,Atomic replace/fallback evidence per platform.
ACC-048,Network,"Independent traffic capture agrees with egress broker decisions for acquisition, redirects, native providers, sync and diagnostics.",All,Privacy gate,M2_PLATFORM_BETA,P0,Yes,core,Network,HBR-150,SEC-030;SEC-034;SEC-035,UX-031;UX-032;UX-046,Packet/proxy capture plus broker log reconciliation.
ACC-049,Storage,"Private artifacts, extracts, embeddings, previews and temp files do not expose recognizable plaintext at rest outside approved decrypted working windows.",All,Security blocker,M2_PLATFORM_BETA,P0,Yes,core,Security,HBR-152,SEC-036;SEC-037,UX-036,Synthetic-secret filesystem inspection.
ACC-050,Storage,"Key rotation, backup/restore and workspace deletion preserve other workspaces while meeting documented crypto-erasure/retention semantics.",All,Security blocker,M2_PLATFORM_BETA,P0,Yes,core,Security,HBR-152,SEC-038,UX-036,Key rotation/delete/restore scenario report.
ACC-051,Office calculation,Reference workbook recalculates independently known answers offline; stale cached values cannot satisfy a verified calculation.,All,Product blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Artifacts,HBR-153;HBR-161,SEC-041,UX-009;UX-012;UX-017,Pinned workbook corpus with expected values and calculation diagnostics.
ACC-052,Office rendering,"DOCX/PPTX supported-feature corpus renders within declared fidelity; preserve-only and reject features are reported, never silently lost.",All,Product blocker,M2_PLATFORM_BETA,P0,Yes,core,Artifacts,HBR-153,SEC-042,UX-008;UX-010;UX-012,Golden render and compatibility-report corpus.
ACC-053,Device support,Exact OS/arch/memory/device-class support manifest is published; unsupported combinations are blocked or capability-limited before workload start.,All,Release blocker,M2_PLATFORM_BETA,P0,Yes,core,Platform,HBR-154,,UX-022;UX-041,support_matrix.yaml plus device-lab results.
ACC-054,Performance,All mandatory performance fields have populated measured thresholds and minimum-device results; no TBD or blocked threshold remains at GA.,All,Release blocker,M3_GA_CORE,P0,Yes,core,Performance,HBR-154;HBR-132,,UX-025,performance_budgets.yaml and benchmark report.
ACC-055,RAG,Index identity changes rebuild or isolate incompatible indexes; revoked/removed sources are excluded immediately from future retrieval.,All,Product blocker,M3_GA_CORE,P0,Yes,feature:rag,RAG,HBR-082;HBR-083;HBR-084;HBR-155,SEC-047,UX-028;UX-029,Index-migration and source-revocation report.
ACC-056,Answer quality,"Pinned EN/AR evaluation meets grounded citation, abstention, tool-selection and injection-resistance thresholds.",All,Quality gate,M3_GA_CORE,P0,Yes,core,Evaluation,HBR-155;HBR-134,SEC-006;SEC-047,UX-013;UX-029,Versioned evaluation dataset/results.
ACC-057,Sync,"When sync is enabled, enrollment/key epochs/replay/tombstones/conflicts/revocation pass; run authority and approval receipts do not transfer.",All,Feature blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:sync,Sync,HBR-104;HBR-105;HBR-156,SEC-016;SEC-039;SEC-040,UX-035,Feature-specific sync qualification suite.
ACC-058,Models,"Provider/package contract handles absent capabilities, cancelled load and interrupted multi-file install with cleanup; catalog rotation/rollback rules pass.",All,Release blocker,M2_PLATFORM_BETA,P0,Yes,core,Model Hub,HBR-047;HBR-157,SEC-012;SEC-013;SEC-044;SEC-045,UX-022;UX-024,Provider/package contract fixtures.
ACC-059,Accessibility,Every semantic foreground/background component pair passes unrounded WCAG 2.2 AA normal-text contrast where used as text.,All,Accessibility blocker,M2_PLATFORM_BETA,P0,Yes,core,Design,HBR-158;HBR-135,,UX-001;UX-037,Automated token/component contrast report plus manual review.
ACC-060,Arabic capture,"Arabic and mixed Arabic/Latin capture/OCR works offline on every platform where enabled, or the unsupported capability is disclosed and disabled before capture.",All,Localization gate,M3_GA_CORE,P0,Yes,feature:ocr_ar,Localization,HBR-159,,UX-039;UX-042,Arabic/mixed-script OCR fixture results.
ACC-061,Work Canvas,"At widths >=1024, the desktop editor keeps a 640 logical-pixel viewport using deterministic rail/Lens collapse. Below 1024, viewport-sized controls and structured editing remain usable at 320/390/600 pixels and 200% text scale; content may scroll.",All,UX gate,M2_PLATFORM_BETA,P0,Yes,core,Design,HBR-160;HBR-012,,UX-007;UX-008;UX-009;UX-010;UX-011;UX-012,Golden layout suite at breakpoint widths.
ACC-062,Screen completeness,Every route has owner/milestone/task/evidence and required empty/offline/revoked/unavailable/conflict/approval states where applicable.,All,Release blocker,M2_PLATFORM_BETA,P0,Yes,core,Design/Release,HBR-160,,UX-043;UX-044;UX-045;UX-046;UX-047,Screen-state coverage report.
ACC-063,Reference workflow,"Cached/local model install, workbook verification, deck creation, preview/diff, approval, safe save and kill/restart/resume complete with network disabled on one declared reference target. Cross-platform repetition is ACC-081.",All,Product blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Product,HBR-161;HBR-099,SEC-031;SEC-033;SEC-041;SEC-043,UX-009;UX-010;UX-012;UX-016;UX-017;UX-023;UX-041;UX-047,"End-to-end trace, artifacts, known-answer report and recovery evidence."
ACC-064,Capability activation,"Every disabled or unqualified capability is absent from tool dispatch, deep links, background jobs and UI activation. Unknown flags, missing dependencies, early activation and missing activation evidence are rejected.",All,Release blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Capability activation,HBR-003;HBR-022;HBR-147;HBR-150,,UX-032;UX-034;UX-035;UX-046,evidence/gates/ACC-064/report.json
ACC-065,Security coverage,"Every applicable security scenario has a result bound to this target/build, a declared executable test ID and evidence hash. Missing scenarios or exclusions inconsistent with the feature registry block qualification.",All,Release blocker,M3_GA_CORE,P0,Yes,core,Security coverage,HBR-120;HBR-123;HBR-130,SEC-004;SEC-020;SEC-023;SEC-024,UX-008;UX-012;UX-036;UX-040;UX-047,evidence/gates/ACC-065/report.json
ACC-066,Hub authentication,"Opt-in token storage, refresh/revocation, redirect stripping, redaction and private model confidentiality pass with an authenticated test account.",All,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:hf_auth,Hub authentication,HBR-044;HBR-121;HBR-150,SEC-009;SEC-018;SEC-034,UX-020;UX-032,evidence/gates/ACC-066/report.json
ACC-067,Gated Hub,"Access denial, license acknowledgement, browser access grant and authenticated retry preserve exact repo/revision identity and cannot bypass provider permissions.",All,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:hf_gated,Gated Hub,HBR-044;HBR-045,SEC-009;SEC-013,UX-020;UX-021,evidence/gates/ACC-067/report.json
ACC-068,Connectors,"OAuth least privilege, refresh/revoke, read/write separation, destination policy, protected effects and uncertain-outcome recovery pass for every enabled connector adapter.",All,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:connectors,Connectors,HBR-101;HBR-102;HBR-103;HBR-149;HBR-150,SEC-015;SEC-007;SEC-008;SEC-031;SEC-032,UX-033;UX-043;UX-044,evidence/gates/ACC-068/report.json
ACC-069,Diagnostics upload,"Opt-in upload sends only the exact user-previewed payload to its declared destination; cancellation/revocation, redaction and independent egress capture pass.",All,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:diagnostics,Diagnostics upload,HBR-121;HBR-145;HBR-150,SEC-018;SEC-030,UX-025;UX-032;UX-046,evidence/gates/ACC-069/report.json
ACC-070,Apple system provider,"Provider availability/capabilities, data processing location, OS provisioning, cancellation/cleanup and explicit fallback policy pass on the exact OS/device/provider identity. Unknown offline behavior blocks strict offline use.",iOS;macOS,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,provider:apple_system,Apple system provider,HBR-033;HBR-110;HBR-037;HBR-150;HBR-157,SEC-011;SEC-019;SEC-035,UX-023;UX-045;UX-046,evidence/gates/ACC-070/report.json
ACC-071,Android system provider,"Provider availability/capabilities, data processing location, OS provisioning, cancellation/cleanup and explicit fallback policy pass on the exact OS/device/provider identity. Unknown offline behavior blocks strict offline use.",Android,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,provider:android_system,Android system provider,HBR-034;HBR-111;HBR-037;HBR-150;HBR-157,SEC-011;SEC-019;SEC-035,UX-023;UX-045;UX-046,evidence/gates/ACC-071/report.json
ACC-072,Windows system provider,"Provider availability/capabilities, data processing location, OS provisioning, cancellation/cleanup and explicit fallback policy pass on the exact OS/device/provider identity. Unknown offline behavior blocks strict offline use.",Windows,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,provider:windows_foundry,Windows system provider,HBR-035;HBR-112;HBR-037;HBR-150;HBR-157,SEC-011;SEC-019;SEC-035,UX-023;UX-045;UX-046,evidence/gates/ACC-072/report.json
ACC-073,Desktop sandbox,Disabled-by-default sandbox enforces filesystem/network/process limits and denies capability escape; task termination and malicious tool fixtures pass.,macOS;Windows,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:desktop_sandbox,Desktop sandbox,HBR-075;HBR-022,SEC-022,UX-015;UX-016;UX-044,evidence/gates/ACC-073/report.json
ACC-074,App lock,Lock/background/restart and deep-link entry enforce secure unlock and clear private views; sync revocation is tested separately when enabled.,All,Release blocker,M4_OPTIONAL_SERVICES,P1,Yes,feature:app_lock,App lock,HBR-162,SEC-017;SEC-026,UX-032;UX-041,evidence/gates/ACC-074/report.json
ACC-075,Contract freeze,"Schemas, negative fixtures, feature registry, temporal ordering and machine-generated ledgers pass the packaged validator from a clean checkout. Contract PASS does not assert runtime behavior.",All,Release blocker,M0_CONTRACT,P0,Yes,core,Contract freeze,HBR-001;HBR-002;HBR-003;HBR-005;HBR-140;HBR-147;HBR-160,,,evidence/gates/ACC-075/report.json
ACC-076,Runtime contracts,"FFI memory ownership, event replay, tool validation, state transitions, cancellation deadlines and durable step/tool/context/active-time budgets pass positive and negative tests.",All,Release blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Runtime contracts,HBR-020;HBR-021;HBR-023;HBR-060;HBR-061;HBR-062;HBR-066;HBR-067,SEC-007;SEC-008;SEC-019;SEC-046,UX-015;UX-016;UX-041;UX-043,evidence/gates/ACC-076/report.json
ACC-077,Skills,"Built-in signature verification, user import syntax, declarative allowlists and prompt-injection containment pass; no executable skill payload runs.",All,Release blocker,M3_GA_CORE,P0,Yes,core,Skills,HBR-070;HBR-071;HBR-072,SEC-005,UX-026;UX-027,evidence/gates/ACC-077/report.json
ACC-078,Context isolation,"Prompt/template caches, context packing and truncation keep workspace/model identities isolated; switching workspaces cannot reuse private context or cached outputs.",All,Release blocker,M1_LOCAL_REFERENCE,P0,Yes,core,Context isolation,HBR-038;HBR-086,SEC-025,UX-006;UX-028,evidence/gates/ACC-078/report.json
ACC-079,Files and extraction,"PDF page/text extraction, enabled OCR packs, clipboard explicit-action enforcement and structured extraction errors pass pinned fixtures with bounded allocations.",All,Release blocker,M2_PLATFORM_BETA,P0,Yes,core,Files and extraction,HBR-073;HBR-074;HBR-095,SEC-020;SEC-014,UX-011;UX-039;UX-040,evidence/gates/ACC-079/report.json
ACC-080,Platform lifecycle,"Background/foreground, process termination, file capabilities, deep links, share-in and notifications behave according to declared OS restrictions on each platform.",All,Release blocker,M2_PLATFORM_BETA,P0,Yes,core,Platform lifecycle,HBR-110;HBR-111;HBR-112;HBR-113;HBR-114,SEC-014;SEC-028,UX-039;UX-040;UX-041;UX-044,evidence/gates/ACC-080/report.json
ACC-081,Platform reference workflow,"Repeat the ACC-063 offline reference workflow and safe-save recovery corpus on every shipped platform/architecture support target, including compact editing.",All,Release blocker,M2_PLATFORM_BETA,P0,Yes,core,Platform reference workflow,HBR-099;HBR-161;HBR-110;HBR-111;HBR-112,SEC-031;SEC-033;SEC-041;SEC-043,UX-009;UX-010;UX-012;UX-016;UX-017;UX-041;UX-047,evidence/gates/ACC-081/report.json
