Epic,Task ID,Task,Platform/Area,Priority,Milestone,Release Blocking,Feature Applicability,Owner,Dependencies,Acceptance IDs,Security IDs,Screen IDs,Acceptance,Evidence Path
E02 Core runtime / FFI,HBR-021,Implement typed event bus and durable run event schema,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-020,ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,,Versioned typed events replay deterministically. Unknown authority/state events halt replay. Only authenticated envelope-marked ignorable_display extensions can be skipped. Lease and monotonic-budget checks are transactional.,evidence/HBR-021/
E02 Core runtime / FFI,HBR-022,Implement capability broker and permission receipts,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-020,ACC-009;ACC-036;ACC-064;ACC-073,SEC-007;SEC-008;SEC-022,UX-032;UX-044,Every protected effect carries capability scope and receipt; negative bypass tests pass.,evidence/HBR-022/
E02 Core runtime / FFI,HBR-023,Implement lifecycle/cancellation coordinator,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-020,ACC-024;ACC-025;ACC-026;ACC-076,SEC-007;SEC-008;SEC-019;SEC-045;SEC-046,,"Background, suspend, quit and task cancellation leave no locked model/file handles.",evidence/HBR-023/
E02 Core runtime / FFI,HBR-024,Implement structured error taxonomy,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-020,ACC-039,SEC-036;SEC-037,UX-041,UI receives stable error codes with actionable recovery metadata.,evidence/HBR-024/
E03 Inference,HBR-030,Vendor/pin llama.cpp and build universal C ABI,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-020,ACC-003,SEC-019,,Pinned revision builds on arm64 iOS/macOS/Android and x64/arm64 Windows.,evidence/HBR-030/
E03 Inference,HBR-031,Implement GGUF model loader and streaming generation,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-030,ACC-001;ACC-003;ACC-026,SEC-011;SEC-019;SEC-045,UX-006;UX-023,Cancel <250ms target; context/sampler/tool grammar fixtures pass.,evidence/HBR-031/
E03 Inference,HBR-032,Implement backend discovery and selection,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-030,ACC-004,SEC-011,,Metal/CUDA/Vulkan/HIP/SYCL/CPU availability reported accurately without crash.,evidence/HBR-032/
E03 Inference,HBR-033,Implement Apple Foundation Models provider,Apple,P1,M4_OPTIONAL_SERVICES,No,provider:apple_system,Apple,HBR-020,ACC-070,SEC-011;SEC-019;SEC-035,,"Availability, session, tool calls and fallback conform to shared ModelProvider contract.",evidence/HBR-033/
E03 Inference,HBR-034,Implement Android system model provider,Android,P1,M4_OPTIONAL_SERVICES,No,provider:android_system,Android,HBR-020,ACC-071,SEC-011;SEC-019;SEC-035,,Gemini Nano/ML Kit availability and offline calls conform to shared provider contract.,evidence/HBR-034/
E03 Inference,HBR-035,Implement Windows Foundry Local provider,Windows,P1,M4_OPTIONAL_SERVICES,No,provider:windows_foundry,Windows,HBR-020,ACC-072,SEC-011;SEC-019;SEC-035,,Catalog/load/stream/unload conform to ModelProvider; absence falls back cleanly.,evidence/HBR-035/
E03 Inference,HBR-036,Implement remote OpenAI-compatible provider,All,P1,M4_OPTIONAL_SERVICES,No,feature:remote_inference,All,HBR-022,ACC-037,SEC-010;SEC-011,UX-034,Disabled by default; domain/key policy and per-request Local/Hybrid/Remote indicator enforced.,evidence/HBR-036/
E03 Inference,HBR-037,Implement model router and task profiles,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-031,ACC-004;ACC-016;ACC-037;ACC-070;ACC-071;ACC-072,SEC-010;SEC-011;SEC-019;SEC-035,UX-004;UX-005;UX-006;UX-045,"Router respects user lock, privacy mode, capability need, context, memory and thermal state.",evidence/HBR-037/
E03 Inference,HBR-038,Implement prompt/template cache policy,Core,P1,M1_LOCAL_REFERENCE,No,core,Core,HBR-037,ACC-078,SEC-025,,Stable prefixes reused without mixing workspaces/users/models.,evidence/HBR-038/
E04 Models / Hub,HBR-040,Define Harbor Model Manifest and signed catalog schema,Core/Service,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Service,HBR-002,ACC-034,,UX-019;UX-021,"Manifest supports source revision, files, checksums, license, architecture, capabilities and device hints.",evidence/HBR-040/
E04 Models / Hub,HBR-041,Implement device profiler and Fit Score,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-032,ACC-005;ACC-033,SEC-029,UX-002;UX-003;UX-018;UX-021,Fit Score uses measured RAM/storage/backends and never recommends known non-loadable model.,evidence/HBR-041/
E04 Models / Hub,HBR-042,Implement Harbor catalog client and signature verification,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-040,ACC-029,SEC-012;SEC-044,UX-019,Tampered/expired catalog rejected; cached last-known-good remains usable.,evidence/HBR-042/
E04 Models / Hub,HBR-043,Implement Hugging Face repo search/inspect,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-040,ACC-007;ACC-033;ACC-034,SEC-021,UX-003;UX-020,Public repo URL/search resolves metadata without executing repository code.,evidence/HBR-043/
E04 Models / Hub,HBR-044,Implement Hugging Face authentication storage,All,P1,M4_OPTIONAL_SERVICES,No,feature:hf_auth,All,HBR-043,ACC-066;ACC-067,SEC-009;SEC-013;SEC-018;SEC-034,,Read/fine-grained token is stored only in OS secure store and redacted from logs.,evidence/HBR-044/
E04 Models / Hub,HBR-045,Implement gated-model UX,All,P1,M4_OPTIONAL_SERVICES,No,feature:hf_gated,All,HBR-044,ACC-067,SEC-009;SEC-013,,User is sent to browser to request access; app retries download after authenticated access.,evidence/HBR-045/
E04 Models / Hub,HBR-046,Implement resumable download engine,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-043,ACC-006;ACC-020,SEC-031;SEC-043;SEC-045;SEC-046,UX-022,"HTTP Range/ETag, pause/resume, retry/backoff, storage check and progress survive restart.",evidence/HBR-046/
E04 Models / Hub,HBR-047,Implement checksum/revision/provenance validation,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-046,ACC-058,SEC-012;SEC-013;SEC-044;SEC-045,UX-021,Downloaded weight bound to exact source revision; checksum mismatch quarantined.,evidence/HBR-047/
E04 Models / Hub,HBR-048,Implement model install/uninstall and immutable store,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-047,ACC-006;ACC-021,SEC-024;SEC-038;SEC-045,UX-022;UX-023;UX-036,No partial install visible; in-use deletion blocked; uninstall frees all owned files.,evidence/HBR-048/
E04 Models / Hub,HBR-049,Implement local import safety gate,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-048,ACC-007;ACC-015,SEC-001;SEC-002;SEC-003;SEC-004;SEC-021,UX-024,"Accept only allowlisted data files in harbor.model/v3 packages or a single GGUF wrapped into such a package. Reject executable content, malformed metadata, escaping/colliding paths and incomplete packages.",evidence/HBR-049/
E04 Models / Hub,HBR-050,Implement benchmark lab and measured profile cache,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-048,ACC-024,,UX-025,TTFT/tok-s/RAM/thermal measured; tests do not leak prompt content.,evidence/HBR-050/
E05 Agent runtime,HBR-060,Implement agent state machine,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-021;HBR-148,ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,,Complete transition table including paused/cancelling states is deterministic; terminal completion from Running is explicit.,evidence/HBR-060/
E05 Agent runtime,HBR-061,Implement planner/executor loop with budgets,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-060,ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,,Max steps/time/tool-output/context budgets enforced with user-visible stop reason.,evidence/HBR-061/
E05 Agent runtime,HBR-062,Implement typed ToolRegistry,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-022,ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,,"Tools expose JSON schema, risk class, capabilities, deterministic result envelope.",evidence/HBR-062/
E05 Agent runtime,HBR-063,Implement Harbor Sheet approval flow,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-022;HBR-149,ACC-009;ACC-036,SEC-007;SEC-008,UX-017;UX-043,"Protected effects cannot dispatch before approval bound to canonical arguments, target, policy version and effect intent; allow-once receipt is single-use and expiring.",evidence/HBR-063/
E05 Agent runtime,HBR-064,Implement pause/cancel/retry/resume,Core/UI,P0,M1_LOCAL_REFERENCE,Yes,core,Core/UI,HBR-060;HBR-080;HBR-148,ACC-010;ACC-020,SEC-031;SEC-032;SEC-043;SEC-046,UX-016;UX-041,"Run resumes from durable event state with persisted pause reason/budgets and executor lease; completed effects are observed, never repeated.",evidence/HBR-064/
E05 Agent runtime,HBR-065,Implement Run Trail UI,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-060,ACC-035,,UX-016;UX-030,Each model/tool/approval/artifact event has concise user-readable entry and expandable details.,evidence/HBR-065/
E05 Agent runtime,HBR-066,Implement agent profiles and model/tool policy,Core,P1,M1_LOCAL_REFERENCE,No,core,Core,HBR-061,ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,UX-014,"Profile can pin model class, knowledge, tools, approval strategy and max budget.",evidence/HBR-066/
E05 Agent runtime,HBR-067,Implement custom agent builder,All,P1,M1_LOCAL_REFERENCE,No,core,All,HBR-066,ACC-076,SEC-007;SEC-008;SEC-019;SEC-046,UX-015,Builder validates unsafe combinations and produces versioned profile manifest.,evidence/HBR-067/
E06 Skills / tools,HBR-070,Define Skill Manifest v1,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-002,ACC-077,SEC-005,,"YAML/Markdown skill schema supports instructions, tools, knowledge hints, input/output contract and version.",evidence/HBR-070/
E06 Skills / tools,HBR-071,Implement signed built-in skill loader,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-070,ACC-077,SEC-005,UX-026,Bundled skills verified and versioned; failed signature disables skill.,evidence/HBR-071/
E06 Skills / tools,HBR-072,Implement user skill import/editor,All,P1,M3_GA_CORE,No,core,All,HBR-070,ACC-077,SEC-005,UX-026;UX-027,No executable code in v1 skill; tool allowlist and syntax validated before enable.,evidence/HBR-072/
E06 Skills / tools,HBR-073,Implement core file/PDF/clipboard/share tools,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-062;HBR-081,ACC-001;ACC-031;ACC-079,SEC-011;SEC-014;SEC-020,UX-005;UX-039;UX-040,All file access is scoped to user-selected handles; output and size limits tested.,evidence/HBR-073/
E06 Skills / tools,HBR-074,Implement extraction/translation/structured output tools,Core,P0,M2_PLATFORM_BETA,Yes,core,Core,HBR-062,ACC-079,SEC-014;SEC-020,,Schema-constrained results pass malformed-output recovery cases.,evidence/HBR-074/
E06 Skills / tools,HBR-075,Implement optional desktop sandbox tool,macOS/Windows,P2,M4_OPTIONAL_SERVICES,No,feature:desktop_sandbox,macOS/Windows,HBR-062,ACC-073,SEC-022,,WASI or process sandbox is deny-by-default and unavailable on mobile by default.,evidence/HBR-075/
E07 Workspace / knowledge,HBR-080,Implement encrypted SQLite workspace store,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-020,ACC-039,SEC-036;SEC-037,,Threads/runs/settings/artifact refs survive crash; DB key stored in OS keystore.,evidence/HBR-080/
E07 Workspace / knowledge,HBR-081,Implement workspace/file handle abstraction,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-080,ACC-031,SEC-014,UX-029;UX-044,Cross-platform persisted permissions degrade safely when OS revokes access.,evidence/HBR-081/
E07 Workspace / knowledge,HBR-082,Implement local embedding provider,Core,P0,M3_GA_CORE,Yes,feature:rag,Core,HBR-031,ACC-055,SEC-047,,Embedding model can be installed independently and resource budgeted.,evidence/HBR-082/
E07 Workspace / knowledge,HBR-083,Implement chunk/index pipeline,Core,P0,M3_GA_CORE,Yes,feature:rag,Core,HBR-082,ACC-014;ACC-024;ACC-055,SEC-006;SEC-047,UX-028;UX-029,PDF/DOCX/TXT/MD sources index incrementally with source checksum and deletion propagation.,evidence/HBR-083/
E07 Workspace / knowledge,HBR-084,Implement local vector search,Core,P0,M3_GA_CORE,Yes,feature:rag,Core,HBR-083,ACC-014;ACC-055,SEC-006;SEC-047,UX-028,Top-k search returns source spans and deterministic citation handles.,evidence/HBR-084/
E07 Workspace / knowledge,HBR-085,Implement Knowledge UI,All,P0,M3_GA_CORE,Yes,feature:rag,All,HBR-084,ACC-014,SEC-006;SEC-047,UX-028;UX-029,User can inspect/remove/reindex sources and see disk cost/index health.,evidence/HBR-085/
E07 Workspace / knowledge,HBR-086,Implement context packer,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-080,ACC-078,SEC-025,UX-006,"Context respects model window, source priority, recent thread and tool state with traceable truncation.",evidence/HBR-086/
E08 Artifact engine / Office automation,HBR-090,Define Artifact IR and typed edit operations,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-002,ACC-047,SEC-043,,IR covers text blocks/tables/sheets/cells/slides/media/metadata with stable identifiers.,evidence/HBR-090/
E08 Artifact engine / Office automation,HBR-091,Implement OOXML package safety parser,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-090,ACC-011;ACC-015,SEC-001;SEC-002;SEC-003;SEC-004;SEC-021;SEC-042,,"Zip bomb, path traversal, external relationship and oversized XML tests pass.",evidence/HBR-091/
E08 Artifact engine / Office automation,HBR-092,Implement DOCX read/create/patch pipeline,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-091,ACC-011;ACC-012,SEC-042,UX-008,Paragraph/table/style/header/footer edits preserve untouched package parts; round-trip golden tests pass.,evidence/HBR-092/
E08 Artifact engine / Office automation,HBR-093,Implement XLSX read/create/patch pipeline,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-091;HBR-153,ACC-011;ACC-012,SEC-042,UX-009,"XLSX import/preserve/patch plus qualified formula recalculation work for the supported matrix; unsupported formulas are preserved and marked unverified, never silently guessed.",evidence/HBR-093/
E08 Artifact engine / Office automation,HBR-094,Implement PPTX read/create/patch pipeline,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-091,ACC-011;ACC-012,SEC-042,UX-010,Slides/text/images/notes/themes preserved where untouched; generated deck opens cleanly.,evidence/HBR-094/
E08 Artifact engine / Office automation,HBR-095,Implement PDF extraction/render/OCR facade,Core/Native,P0,M1_LOCAL_REFERENCE,Yes,core,Core/Native,HBR-073,ACC-079,SEC-014;SEC-020,UX-011;UX-039,Text and page image extraction works across platforms; OCR provider is platform-adapted.,evidence/HBR-095/
E08 Artifact engine / Office automation,HBR-096,Implement Artifact Diff,Core/UI,P0,M1_LOCAL_REFERENCE,Yes,core,Core/UI,HBR-092;HBR-093;HBR-094;HBR-097;HBR-151,ACC-013,SEC-033,UX-008;UX-009;UX-010;UX-012;UX-047,"Diff summarizes paragraphs, cells/formulas and slides against a specific base artifact version/hash before approval.",evidence/HBR-096/
E08 Artifact engine / Office automation,HBR-097,Implement versioned artifact store,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-090;HBR-080;HBR-152,ACC-047,SEC-043,UX-007;UX-008;UX-009;UX-010;UX-013,"Original/output checksums, encrypted artifact bytes, operation log, model/run provenance, restore and garbage-collection metadata are durable.",evidence/HBR-097/
E08 Artifact engine / Office automation,HBR-098,Implement office agents: Document/Spreadsheet/Presentation/PDF,All,P0,M1_LOCAL_REFERENCE,Yes,core,All,HBR-063;HBR-071;HBR-086;HBR-092;HBR-093;HBR-094;HBR-095;HBR-096;HBR-097;HBR-151,ACC-001,SEC-011,,"Built-in Office agents use typed operation batches, diff/version store and base-version-bound protected write flow only.",evidence/HBR-098/
E08 Artifact engine / Office automation,HBR-099,Implement cross-artifact workflow,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-098;HBR-153;HBR-161,ACC-032;ACC-063;ACC-081,SEC-031;SEC-033;SEC-041;SEC-043,,"Reference XLSX→verified analysis→PPTX workflow completes locally with trace, base-version-bound approval, safe commit and resumability.",evidence/HBR-099/
E09 Connectors / network / sync,HBR-100,Implement central Egress Broker and Network Log,Core,P0,M1_LOCAL_REFERENCE,Yes,core,Core,HBR-022,ACC-002;ACC-038,SEC-030;SEC-034;SEC-035,UX-030;UX-031;UX-046,"All outbound traffic is classified, attributed, logged and policy-checked.",evidence/HBR-100/
E09 Connectors / network / sync,HBR-101,Implement optional web fetch/search tool interface,Core,P1,M4_OPTIONAL_SERVICES,No,feature:connectors,Core,HBR-100,ACC-068,SEC-007;SEC-008;SEC-015;SEC-031;SEC-032,,Disabled in Local mode; size/content-type/domain limits and prompt-injection marking enforced.,evidence/HBR-101/
E09 Connectors / network / sync,HBR-102,Implement connector OAuth vault,Core/Native,P1,M4_OPTIONAL_SERVICES,No,feature:connectors,Core/Native,HBR-100,ACC-068,SEC-007;SEC-008;SEC-015;SEC-031;SEC-032,UX-033,Tokens live in secure store; refresh and revoke are audited; least scopes requested.,evidence/HBR-102/
E09 Connectors / network / sync,HBR-103,Implement mail/calendar connector contracts,Core,P2,M4_OPTIONAL_SERVICES,No,feature:connectors,Core,HBR-102,ACC-068,SEC-007;SEC-008;SEC-015;SEC-031;SEC-032,UX-033,Read actions distinct from send/write; protected effects require approval.,evidence/HBR-103/
E09 Connectors / network / sync,HBR-104,Implement E2EE sync log and key model,Core/Service,P1,M4_OPTIONAL_SERVICES,No,feature:sync,Core/Service,HBR-080;HBR-156,ACC-022;ACC-057,SEC-016;SEC-039;SEC-040,UX-035,"Optional sync implements the approved protocol: ciphertext-only server, device enrollment/key epochs, replay detection, conflicts, recovery and revocation.",evidence/HBR-104/
E09 Connectors / network / sync,HBR-105,Implement device sync UI,All,P1,M4_OPTIONAL_SERVICES,No,feature:sync,All,HBR-104,ACC-057,,UX-035,"User sees last sync, registered devices, storage, revoke and reset actions.",evidence/HBR-105/
E09 Connectors / network / sync,HBR-106,Exclude model weights from sync by default,Core,P1,M4_OPTIONAL_SERVICES,No,feature:sync,Core,HBR-104;HBR-156,ACC-023,SEC-039,,"When sync is enabled, sync manifests exclude weights and device-local execution authority by protocol.",evidence/HBR-106/
E10 Platform adapters,HBR-110,Implement Apple native plugin,iOS/macOS,P0,M1_LOCAL_REFERENCE,Yes,core,iOS/macOS,HBR-020,ACC-025;ACC-040;ACC-070;ACC-080;ACC-081,SEC-011;SEC-014;SEC-019;SEC-027;SEC-028;SEC-031;SEC-033;SEC-035;SEC-041;SEC-043,,"Keychain, security-scoped bookmarks, share extension, lifecycle, AFM and Metal hooks pass.",evidence/HBR-110/
E10 Platform adapters,HBR-111,Implement Android native plugin,Android,P0,M1_LOCAL_REFERENCE,Yes,core,Android,HBR-020,ACC-025;ACC-040;ACC-071;ACC-080;ACC-081,SEC-011;SEC-014;SEC-019;SEC-027;SEC-028;SEC-031;SEC-033;SEC-035;SEC-041;SEC-043,,"Keystore, SAF, share intents, AICore/ML Kit availability, lifecycle and thermal hooks pass.",evidence/HBR-111/
E10 Platform adapters,HBR-112,Implement Windows native plugin,Windows,P0,M1_LOCAL_REFERENCE,Yes,core,Windows,HBR-020,ACC-040;ACC-072;ACC-080;ACC-081,SEC-011;SEC-014;SEC-019;SEC-027;SEC-028;SEC-031;SEC-033;SEC-035;SEC-041;SEC-043,,"Credential Manager/DPAPI, file picker handles, Foundry/WinML discovery, GPU info and packaging pass.",evidence/HBR-112/
E10 Platform adapters,HBR-113,Implement platform notifications/background work,All,P1,M2_PLATFORM_BETA,No,core,All,HBR-110;HBR-111;HBR-112,ACC-080,SEC-014;SEC-028,,Downloads/index jobs comply with OS background restrictions and resume safely.,evidence/HBR-113/
E10 Platform adapters,HBR-114,Implement deep links/share targets/app intents where supported,All,P1,M2_PLATFORM_BETA,No,core,All,HBR-113,ACC-031;ACC-080,SEC-014;SEC-028,UX-040,External open/share requests always require visible user context and scoped import.,evidence/HBR-114/
E11 Privacy / security,HBR-120,Threat model and security invariants in repository,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-002,ACC-065,SEC-004;SEC-020;SEC-023;SEC-024,,Threats map to tests and owners; release blocks on unresolved critical invariants.,evidence/HBR-120/
E11 Privacy / security,HBR-121,Implement secret redaction and log policy,Core,P0,M2_PLATFORM_BETA,Yes,core,Core,HBR-020,ACC-008;ACC-030;ACC-066;ACC-069,SEC-009;SEC-018;SEC-030;SEC-034,UX-032,"Tokens, prompts, document content and paths excluded from telemetry by default.",evidence/HBR-121/
E11 Privacy / security,HBR-122,Implement secure wipe and retention controls,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-080;HBR-152,ACC-021,SEC-024;SEC-038,UX-032;UX-036,User can delete data with defined crypto-erasure/GC semantics; backup retention and shared/public data behavior are disclosed and tested.,evidence/HBR-122/
E11 Privacy / security,HBR-123,Implement malicious file/model fuzz harness,Core,P0,M2_PLATFORM_BETA,Yes,core,Core,HBR-091;HBR-049,ACC-015;ACC-065,SEC-001;SEC-002;SEC-003;SEC-004;SEC-020;SEC-021;SEC-023;SEC-024,,Corpus and property tests cover parsers and no crash escapes fuzz sandbox.,evidence/HBR-123/
E11 Privacy / security,HBR-124,Implement remote endpoint TLS policy,All,P1,M4_OPTIONAL_SERVICES,No,feature:remote_inference,All,HBR-036,ACC-037,SEC-010;SEC-011,UX-034,HTTPS default; explicit warning for insecure LAN endpoint; optional pinning supported.,evidence/HBR-124/
E11 Privacy / security,HBR-125,Implement privacy mode enforcement tests,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-100,ACC-001;ACC-002,SEC-011;SEC-030;SEC-035,,Local mode completes core workflows with network physically unavailable and no hidden dependency.,evidence/HBR-125/
E12 Quality / evaluation,HBR-130,Create unit/integration test pyramid,All,P0,M3_GA_CORE,Yes,core,All,HBR-001,ACC-065,SEC-004;SEC-020;SEC-023;SEC-024,,"Coverage gates focus on policy, parsers, state machines and cross-platform contracts.",evidence/HBR-130/
E12 Quality / evaluation,HBR-131,Create golden UI test matrix incl. RTL,Flutter,P0,M3_GA_CORE,Yes,core,Flutter,HBR-011,ACC-019,,,Compact/medium/desktop + light/dark + EN/AR snapshots reviewed.,evidence/HBR-131/
E12 Quality / evaluation,HBR-132,Create model compatibility lab,All,P0,M3_GA_CORE,Yes,core,All,HBR-041;HBR-050;HBR-154,ACC-003;ACC-054,SEC-019,,"Qualified device/model/runtime/backend matrix records load success, TTFT, throughput, memory and thermal behavior against populated release thresholds.",evidence/HBR-132/
E12 Quality / evaluation,HBR-133,Create office round-trip corpus,Core,P0,M3_GA_CORE,Yes,core,Core,HBR-092;HBR-093;HBR-094,ACC-011;ACC-012,SEC-042,,Realistic DOCX/XLSX/PPTX fixtures preserve unsupported content through no-op round trip.,evidence/HBR-133/
E12 Quality / evaluation,HBR-134,Create agent behavior/effect evaluation suite,Core,P0,M3_GA_CORE,Yes,core,Core,HBR-061;HBR-149;HBR-155,ACC-056,SEC-006;SEC-047,,"Pinned EN/AR datasets score answer grounding, tool correctness, effect necessity, approval correctness, resume/idempotency and abstention against release thresholds.",evidence/HBR-134/
E12 Quality / evaluation,HBR-135,Create accessibility test suite,All,P0,M2_PLATFORM_BETA,Yes,core,All,HBR-015,ACC-018;ACC-059,,,WCAG 2.2 AA-oriented checks + VoiceOver/TalkBack/Narrator manual scripts.,evidence/HBR-135/
E12 Quality / evaluation,HBR-136,Create upgrade/migration test suite,All,P0,M3_GA_CORE,Yes,core,All,HBR-004,ACC-027,,,N-2 database/settings/catalog/skill manifests upgrade without data loss.,evidence/HBR-136/
E13 Build / release / operations,HBR-140,Create CI matrix for Flutter/Rust/native targets,CI,P0,M0_CONTRACT,Yes,core,CI,HBR-005,ACC-028;ACC-075,SEC-027,,PR gates build/test lint on supported target architectures.,evidence/HBR-140/
E13 Build / release / operations,HBR-141,Create reproducible llama.cpp/native dependency build,CI,P0,M3_GA_CORE,Yes,core,CI,HBR-030,ACC-028,SEC-027,,Pinned source + checksums produce signed SBOM and deterministic version metadata.,evidence/HBR-141/
E13 Build / release / operations,HBR-142,Create unsigned packaging pipeline,CI,P0,M3_GA_CORE,Yes,core,CI,HBR-140,ACC-040,SEC-027;SEC-028,,"Produces IPA archive, macOS app, MSIX/installer and Android AAB/APK candidates.",evidence/HBR-142/
