Gate ID,Milestone,Blocking,Applicability,Platforms,Owner,Tasks,Security IDs,Screen IDs,Evidence
ACC-062,M2_PLATFORM_BETA,Yes,core,All,Design/Release,HBR-160,,UX-043;UX-044;UX-045;UX-046;UX-047,Screen-state coverage report.
ACC-063,M1_LOCAL_REFERENCE,Yes,core,All,Product,HBR-161;HBR-099,SEC-031;SEC-033;SEC-041;SEC-043,UX-009;UX-010;UX-012;UX-016;UX-017;UX-023;UX-041;UX-047,"End-to-end trace, artifacts, known-answer report and recovery evidence."
ACC-064,M1_LOCAL_REFERENCE,Yes,core,All,Capability activation,HBR-003;HBR-022;HBR-147;HBR-150,,UX-032;UX-034;UX-035;UX-046,evidence/gates/ACC-064/report.json
ACC-065,M3_GA_CORE,Yes,core,All,Security coverage,HBR-120;HBR-123;HBR-130,SEC-004;SEC-020;SEC-023;SEC-024,UX-008;UX-012;UX-036;UX-040;UX-047,evidence/gates/ACC-065/report.json
ACC-066,M4_OPTIONAL_SERVICES,Yes,feature:hf_auth,All,Hub authentication,HBR-044;HBR-121;HBR-150,SEC-009;SEC-018;SEC-034,UX-020;UX-032,evidence/gates/ACC-066/report.json
ACC-067,M4_OPTIONAL_SERVICES,Yes,feature:hf_gated,All,Gated Hub,HBR-044;HBR-045,SEC-009;SEC-013,UX-020;UX-021,evidence/gates/ACC-067/report.json
ACC-068,M4_OPTIONAL_SERVICES,Yes,feature:connectors,All,Connectors,HBR-101;HBR-102;HBR-103;HBR-149;HBR-150,SEC-015;SEC-007;SEC-008;SEC-031;SEC-032,UX-033;UX-043;UX-044,evidence/gates/ACC-068/report.json
ACC-069,M4_OPTIONAL_SERVICES,Yes,feature:diagnostics,All,Diagnostics upload,HBR-121;HBR-145;HBR-150,SEC-018;SEC-030,UX-025;UX-032;UX-046,evidence/gates/ACC-069/report.json
ACC-070,M4_OPTIONAL_SERVICES,Yes,provider:apple_system,iOS;macOS,Apple system provider,HBR-033;HBR-110;HBR-037;HBR-150;HBR-157,SEC-011;SEC-019;SEC-035,UX-023;UX-045;UX-046,evidence/gates/ACC-070/report.json
ACC-071,M4_OPTIONAL_SERVICES,Yes,provider:android_system,Android,Android system provider,HBR-034;HBR-111;HBR-037;HBR-150;HBR-157,SEC-011;SEC-019;SEC-035,UX-023;UX-045;UX-046,evidence/gates/ACC-071/report.json
ACC-072,M4_OPTIONAL_SERVICES,Yes,provider:windows_foundry,Windows,Windows system provider,HBR-035;HBR-112;HBR-037;HBR-150;HBR-157,SEC-011;SEC-019;SEC-035,UX-023;UX-045;UX-046,evidence/gates/ACC-072/report.json
ACC-073,M4_OPTIONAL_SERVICES,Yes,feature:desktop_sandbox,macOS;Windows,Desktop sandbox,HBR-075;HBR-022,SEC-022,UX-015;UX-016;UX-044,evidence/gates/ACC-073/report.json
ACC-074,M4_OPTIONAL_SERVICES,Yes,feature:app_lock,All,App lock,HBR-162,SEC-017;SEC-026,UX-032;UX-041,evidence/gates/ACC-074/report.json
ACC-075,M0_CONTRACT,Yes,core,All,Contract freeze,HBR-001;HBR-002;HBR-003;HBR-005;HBR-140;HBR-147;HBR-160,,,evidence/gates/ACC-075/report.json
ACC-076,M1_LOCAL_REFERENCE,Yes,core,All,Runtime contracts,HBR-020;HBR-021;HBR-023;HBR-060;HBR-061;HBR-062;HBR-066;HBR-067,SEC-007;SEC-008;SEC-019;SEC-046,UX-015;UX-016;UX-041;UX-043,evidence/gates/ACC-076/report.json
ACC-077,M3_GA_CORE,Yes,core,All,Skills,HBR-070;HBR-071;HBR-072,SEC-005,UX-026;UX-027,evidence/gates/ACC-077/report.json
ACC-078,M1_LOCAL_REFERENCE,Yes,core,All,Context isolation,HBR-038;HBR-086,SEC-025,UX-006;UX-028,evidence/gates/ACC-078/report.json
ACC-079,M2_PLATFORM_BETA,Yes,core,All,Files and extraction,HBR-073;HBR-074;HBR-095,SEC-020;SEC-014,UX-011;UX-039;UX-040,evidence/gates/ACC-079/report.json
ACC-080,M2_PLATFORM_BETA,Yes,core,All,Platform lifecycle,HBR-110;HBR-111;HBR-112;HBR-113;HBR-114,SEC-014;SEC-028,UX-039;UX-040;UX-041;UX-044,evidence/gates/ACC-080/report.json
ACC-081,M2_PLATFORM_BETA,Yes,core,All,Platform reference workflow,HBR-099;HBR-161;HBR-110;HBR-111;HBR-112,SEC-031;SEC-033;SEC-041;SEC-043,UX-009;UX-010;UX-012;UX-016;UX-017;UX-041;UX-047,evidence/gates/ACC-081/report.json
