ID,Screen,Area,Desktop pattern,Mobile pattern,Contract,Owner,Milestone,Priority,Blocking,Task IDs,Required States,Evidence,Feature Applicability,Platforms,Required Languages,Required Themes,Recovery Routes,Conditional Task IDs
UX-016,Agent run detail,Agents/Activity,Run Trail timeline,Timeline sheet,"Plan/tool/observe events, pause/cancel/retry",Agents/Activity,M1_LOCAL_REFERENCE,P0,Yes,HBR-064;HBR-065;HBR-148,created;planning;running;paused;waiting_approval;cancelling;completed;failed;cancelled;outcome_unknown,evidence/screens/UX-016/,core,All,en;ar,light;dark,UX-043;UX-044;UX-045;UX-046;UX-047;UX-041,
UX-017,Approval Harbor Sheet,Agents,Modal/panel,Bottom sheet,"Explains effect, target, scope, diff, allow once/always/deny",Agents,M1_LOCAL_REFERENCE,P0,Yes,HBR-063;HBR-149;HBR-151,approval_pending;approved;expired;denied;cancelled;stale_binding;error,evidence/screens/UX-017/,core,All,en;ar,light;dark,UX-041,
UX-018,Models recommended,Models,Fit-ranked table/cards,Fit-ranked cards,Device-aware recommendations and estimated performance,Models,M2_PLATFORM_BETA,P0,Yes,HBR-041,loading;empty;ready;offline;error,evidence/screens/UX-018/,core,All,en;ar,light;dark,UX-041,
UX-019,Harbor Library,Models,Curated catalog,Curated catalog,Signed metadata catalog; no requirement to host weights,Models,M2_PLATFORM_BETA,P0,Yes,HBR-040;HBR-042,loading;empty;ready;offline;error,evidence/screens/UX-019/,core,All,en;ar,light;dark,UX-041,
UX-020,Hugging Face search,Models,Search + detail split,Search + detail route,"Repo search/paste URL, gated model flow",Models,M2_PLATFORM_BETA,P0,Yes,HBR-043,loading;empty;ready;offline;error;auth_disabled;gated_access_disabled;access_denied,evidence/screens/UX-020/,core,All,en;ar,light;dark,UX-041,feature:hf_auth=HBR-044;feature:hf_gated=HBR-045
UX-021,Model detail,Models,Specs + compatibility + files,Bottom-to-full page,"License, revision, quant, Fit Score, benchmark",Models,M2_PLATFORM_BETA,P0,Yes,HBR-040;HBR-041;HBR-047,loading;empty;ready;offline;error,evidence/screens/UX-021/,core,All,en;ar,light;dark,UX-041,
UX-022,Download manager,Models,Queue sidebar/table,Queue screen,"Pause/resume, integrity, storage target",Models,M1_LOCAL_REFERENCE,P0,Yes,HBR-046;HBR-048,empty;queued;downloading;paused;offline;verifying;installing;completed;storage_full;hash_mismatch;error,evidence/screens/UX-022/,core,All,en;ar,light;dark,UX-041,
UX-023,Installed models,Models,Table with runtime stats,Cards,Unload/delete/default/profile assignment,Models,M1_LOCAL_REFERENCE,P0,Yes,HBR-031;HBR-048,loading;empty;ready;offline;error,evidence/screens/UX-023/,core,All,en;ar,light;dark,UX-041,
UX-024,Import local model,Models,File picker flow,Document picker,"Data-only harbor.model/v3 package or single GGUF import; validated paths, file roles and integrity; no executable content.",Models,M1_LOCAL_REFERENCE,P0,Yes,HBR-049,loading;empty;ready;offline;error,evidence/screens/UX-024/,core,All,en;ar,light;dark,UX-041,
UX-025,Benchmark lab,Models,Charts + comparison,Summary cards,"TTFT/tok-s/memory/thermal, opt-in aggregate sharing",Models,M2_PLATFORM_BETA,P0,Yes,HBR-050,loading;empty;ready;offline;error,evidence/screens/UX-025/,core,All,en;ar,light;dark,UX-041,
UX-026,Skills library,Skills,Grid + detail panel,List + detail,Signed built-ins and user skills,Skills,M3_GA_CORE,P0,Yes,HBR-071;HBR-072,loading;empty;ready;offline;error,evidence/screens/UX-026/,core,All,en;ar,light;dark,UX-041,
UX-027,Skill editor,Skills,Markdown/YAML editor,Form + text editor,"Tool allowlist, no arbitrary code by default",Skills,M3_GA_CORE,P0,Yes,HBR-072,loading;empty;ready;offline;error,evidence/screens/UX-027/,core,All,en;ar,light;dark,UX-041,
UX-028,Knowledge collections,Knowledge,Sources + index status,Collections list,Local RAG collections and index health,Knowledge,M3_GA_CORE,P0,Yes,HBR-083;HBR-084;HBR-085,loading;empty;ready;offline;error,evidence/screens/UX-028/,feature:rag,All,en;ar,light;dark,UX-041,
UX-029,Knowledge source detail,Knowledge,Chunk/source preview,Preview,"Reindex, permissions, remove source",Knowledge,M3_GA_CORE,P0,Yes,HBR-081;HBR-083;HBR-085,loading;empty;ready;offline;error,evidence/screens/UX-029/,feature:rag,All,en;ar,light;dark,UX-041,
UX-030,Activity center,Activity,Runs/downloads/network tabs,Segmented tabs,Unified operational transparency,Activity,M2_PLATFORM_BETA,P0,Yes,HBR-065;HBR-100,loading;empty;ready;offline;error,evidence/screens/UX-030/,core,All,en;ar,light;dark,UX-041,
UX-031,Network log,Activity/Privacy,Table,List,All egress attempts; reason and initiator,Activity/Privacy,M2_PLATFORM_BETA,P0,Yes,HBR-100;HBR-150,empty;blocked_attempt;allowed_attempt;completed_traffic;filtering;error,evidence/screens/UX-031/,core,All,en;ar,light;dark,UX-041,
UX-032,Privacy dashboard,Settings,Policy cards,Policy cards,"Local/hybrid defaults, retention, diagnostics",Settings,M2_PLATFORM_BETA,P0,Yes,HBR-022;HBR-121;HBR-122,loading;empty;ready;offline;error,evidence/screens/UX-032/,core,All,en;ar,light;dark,UX-041,
UX-033,Connectors,Settings,Connector grid,Connector list,OAuth scopes and per-tool permissions,Settings,M4_OPTIONAL_SERVICES,P1,Yes,HBR-102;HBR-103,loading;empty;ready;offline;error,evidence/screens/UX-033/,feature:connectors,All,en;ar,light;dark,UX-041,
UX-034,Remote endpoints,Settings,Endpoint table,Endpoint cards,"User-owned OpenAI-compatible endpoints, test connection",Settings,M4_OPTIONAL_SERVICES,P1,Yes,HBR-036;HBR-124,loading;empty;ready;offline;error,evidence/screens/UX-034/,feature:remote_inference,All,en;ar,light;dark,UX-041,
UX-035,Devices & sync,Settings,Device list,Device list,"E2EE sync status, revoke device, recovery key",Settings,M4_OPTIONAL_SERVICES,P1,Yes,HBR-104;HBR-105;HBR-156,loading;empty;ready;offline;error,evidence/screens/UX-035/,feature:sync,All,en;ar,light;dark,UX-041,
UX-036,Storage manager,Settings,Treemap/table,Storage cards,"Models, cache, workspaces, indexes",Settings,M2_PLATFORM_BETA,P0,Yes,HBR-048;HBR-122;HBR-152,loading;empty;ready;offline;error,evidence/screens/UX-036/,core,All,en;ar,light;dark,UX-041,
UX-037,Appearance/language,Settings,Form,Form,"Theme, density, EN/AR, RTL preview",Settings,M2_PLATFORM_BETA,P0,Yes,HBR-011;HBR-015;HBR-158;HBR-159,loading;empty;ready;offline;error,evidence/screens/UX-037/,core,All,en;ar,light;dark,UX-041,
UX-038,Keyboard shortcuts,Settings,Searchable shortcut list,N/A summary,Desktop command palette and navigation,Settings,M2_PLATFORM_BETA,P0,Yes,HBR-014;HBR-015,loading;empty;ready;offline;error,evidence/screens/UX-038/,core,macOS;Windows,en;ar,light;dark,UX-041,
UX-039,Capture,Mobile,N/A,Primary mobile route,Scan/photo/audio/share-in to a local workspace,Mobile,M2_PLATFORM_BETA,P0,Yes,HBR-013;HBR-073;HBR-095;HBR-159,permission_needed;capture_ready;language_pack_missing;processing;result;unsupported_language;error,evidence/screens/UX-039/,core,iOS;Android,en;ar,light;dark,UX-041,
UX-040,Share extension / intent,Platform integration,Share target,Share target,Send selected file/text into Harbor with explicit context,Platform integration,M2_PLATFORM_BETA,P0,Yes,HBR-073;HBR-114,loading;empty;ready;offline;error,evidence/screens/UX-040/,core,All,en;ar,light;dark,UX-041,
UX-041,Offline/error recovery,System,Recovery center,Recovery sheet,"Model OOM, download resume, corrupt file, agent resume",System,M1_LOCAL_REFERENCE,P0,Yes,HBR-024;HBR-064;HBR-152,loading;empty;ready;offline;error,evidence/screens/UX-041/,core,All,en;ar,light;dark,UX-041,
UX-042,First-run Arabic preview,Onboarding,RTL preview,RTL preview,Proves mirrored layout before finish,Onboarding,M2_PLATFORM_BETA,P0,Yes,HBR-011;HBR-015;HBR-159,loading;empty;ready;offline;error,evidence/screens/UX-042/,core,All,en;ar,light;dark,UX-041,
UX-043,Approval pending / uncertain effect,System/Agent,Harbor Lens queue + blocking sheet,Approval/uncertain-outcome sheet,"Pending approvals, expiry, denial, cancellation and OUTCOME_UNKNOWN recovery are distinct",Agent UX,M1_LOCAL_REFERENCE,P0,Yes,HBR-063;HBR-149,approval_pending;expired;denied;cancelled;outcome_unknown;reconciled,evidence/screens/UX-043/,core,All,en;ar,light;dark,UX-041,
UX-044,Permission revoked / capability recovery,System/Security,Inline banner + Trust Center deep link,Recovery sheet,Revoked file/connector permissions stop execution and explain re-grant without silent broadening,Security UX,M2_PLATFORM_BETA,P0,Yes,HBR-022;HBR-081,revoked;source_missing;regrant;denied;recovered,evidence/screens/UX-044/,core,All,en;ar,light;dark,UX-041,
UX-045,Model unavailable / substitution,Models/System,Model Dock resolver,Model resolver sheet,Unavailable/unsupported/removed provider never silently substitutes a model; user sees safe alternatives,Model UX,M2_PLATFORM_BETA,P0,Yes,HBR-037;HBR-157,provider_absent;model_missing;incompatible;download_required;alternative_selected,evidence/screens/UX-045/,core,All,en;ar,light;dark,UX-041,
UX-046,Offline / egress blocked,System/Privacy,Trust Pulse banner + Network Log link,Privacy sheet,Policy allowance and actual execution location are shown separately; blocked requests explain why,Privacy UX,M2_PLATFORM_BETA,P0,Yes,HBR-100;HBR-150,local_policy;offline;blocked;acquisition_exception;os_managed_notice,evidence/screens/UX-046/,core,All,en;ar,light;dark,UX-041,
UX-047,Artifact conflict resolver,Work/System,Three-way conflict panel,Conflict sheet with compare action,"Stale base version never overwrites external edits; user can reopen, save new copy or explicitly rebase",Artifact UX,M1_LOCAL_REFERENCE,P0,Yes,HBR-096;HBR-151,stale_base;external_change;rebase_preview;save_copy;resolved,evidence/screens/UX-047/,core,All,en;ar,light;dark,UX-041,
